도,시군,고령인구비율(2010),고령인구비율(2015),고령인구비율(2020)
강원도,춘천시,13.1,14.8,17.9
강원도,원주시,11.1,12.3,15.1
강원도,강릉시,14.3,17.2,21.3
강원도,동해시,13.2,15.9,20.2
강원도,태백시,14.8,19,25.2
강원도,속초시,12.7,15.2,19.2
강원도,삼척시,17.9,20.5,25.4
강원도,홍천군,18.9,21,26.2
강원도,횡성군,21.7,24.2,29.5
강원도,영월군,21.6,24.3,29.7
강원도,평창군,19.4,22.3,28.4
강원도,정선군,19.2,22.6,28
강원도,철원군,16.3,18.6,22.8
강원도,화천군,18.1,17.8,22.6
강원도,양구군,17.2,16.9,
강원도,인제군,16,16.8,20.6
강원도,고성군,20.7,23.3,29.7
강원도,양양군,21.3,25.2,29.8
전라북도,전주시,9.6,12.1,15
전라북도,군산시,12.3,14.8,18.9
전라북도,익산시,12.8,15.6,19.9
전라북도,정읍시,20.6,24.1,27.9
전라북도,남원시,20.6,24.1,28.1
전라북도,김제시,23.7,27.6,31.9
전라북도,완주군,18.1,19.2,23.4
전라북도,진안군,27.4,31,35
전라북도,무주군,26.7,29.5,33.6
전라북도,장수군,27.1,29.4,34.2
전라북도,임실군,28.9,31.5,36.4
전라북도,순창군,28.4,30.4,34
전라북도,고창군,26.5,29.4,34.4
전라북도,부안군,24.6,28.5,33.3
전라남도,목포시,10.2,13.1,16.9
전라남도,여수시,12.5,15.5,19.5
전라남도,순천시,11.4,13.2,15.8
전라남도,나주시,23.6,23.4,22.5
전라남도,광양시,9.4,10.7,13.3
전라남도,담양군,24.9,28.1,31.2
전라남도,곡성군,29.1,32.2,36.3
전라남도,구례군,27.4,29.7,34.5
전라남도,고흥군,32,36.6,41.1
전라남도,보성군,29.5,33.5,38.5
전라남도,화순군,20.4,23.4,26.9
전라남도,장흥군,28.1,29.1,34.2
전라남도,강진군,26.7,30.1,34.8
전라남도,해남군,25.2,28,32.4
전라남도,영암군,20.9,23.2,26.8
전라남도,무안군,19.1,19.3,20.4
전라남도,함평군,29.5,32.3,36.6
전라남도,영광군,23.2,26.1,29.2
전라남도,장성군,24.3,26.8,30.1
전라남도,완도군,26.4,29,32.5
전라남도,진도군,28.5,31.1,33.1
전라남도,신안군,28.3,31.7,36.7
전라남도,신안군,28.3,31.7,36.7
